,title,cast,nepos,pct_nepo
287,Yellowstone,Wendy Moniz,True,11.11111111111111
288,Black Bird,Taron Egerton,True,5.555555555555555
289,Black Bird,Paul Walter Hauser,True,5.555555555555555
290,Black Bird,Greg Kinnear,True,5.555555555555555
291,Black Bird,Ray Liotta,True,5.555555555555555
292,Black Bird,Sepideh Moafi,True,5.555555555555555
293,Black Bird,Robert Diago DoQui,True,5.555555555555555
294,Black Bird,Joe Williamson,True,5.555555555555555
295,Black Bird,Jake McLaughlin,True,5.555555555555555
296,Black Bird,Laney Stiebing,True,5.555555555555555
297,Black Bird,Cecilia Leal,True,5.555555555555555
298,Black Bird,John Jabaley,True,5.555555555555555
299,Black Bird,Rachel Whitman Groves,True,5.555555555555555
300,Black Bird,Alexander Babara,True,5.555555555555555
301,Black Bird,Lawrence Turner,True,5.555555555555555
302,Black Bird,Joshua Moody,True,5.555555555555555
303,Black Bird,Trazi Lashawn,True,5.555555555555555
304,Black Bird,Jeff Robins,True,5.555555555555555
305,Black Bird,Robyn Malcolm,['https://en.wikipedia.org/wiki/Roger_Sutton'],5.555555555555555
306,The Orville,Seth MacFarlane,['https://en.wikipedia.org/wiki/Rachael_MacFarlane'],16.666666666666664
307,The Orville,Adrianne Palicki,True,16.666666666666664
308,The Orville,Penny Johnson Jerald,True,16.666666666666664
309,The Orville,Scott Grimes,['https://en.wikipedia.org/wiki/Camryn_Grimes'],16.666666666666664
310,The Orville,Peter Macon,True,16.666666666666664
311,The Orville,J. Lee,True,16.666666666666664
312,The Orville,Mark Jackson,True,16.666666666666664
313,The Orville,Jessica Szohr,True,16.666666666666664
314,The Orville,Norm MacDonald,True,16.666666666666664
315,The Orville,Chad L. Coleman,True,16.666666666666664
316,The Orville,Halston Sage,True,16.666666666666664
317,The Orville,Kai Wener,True,16.666666666666664
318,The Orville,BJ Tanner,True,16.666666666666664
319,The Orville,Anne Winters,True,16.666666666666664
320,The Orville,Mike Henry,True,16.666666666666664
321,The Orville,Victor Garber,['https://en.wikipedia.org/wiki/Hope_Garber'],16.666666666666664
322,The Orville,Kyra Santoro,True,16.666666666666664
323,The Orville,Larry Joe Campbell,True,16.666666666666664
324,Breaking Bad,Bryan Cranston,True,5.555555555555555
325,Breaking Bad,Aaron Paul,True,5.555555555555555
326,Breaking Bad,Anna Gunn,True,5.555555555555555
327,Breaking Bad,Betsy Brandt,True,5.555555555555555
328,Breaking Bad,RJ Mitte,True,5.555555555555555
329,Breaking Bad,Dean Norris,True,5.555555555555555
330,Breaking Bad,Bob Odenkirk,['https://en.wikipedia.org/wiki/Bill_Odenkirk'],5.555555555555555
331,Breaking Bad,Steven Michael Quezada,True,5.555555555555555
332,Breaking Bad,Jonathan Banks,True,5.555555555555555
333,Breaking Bad,Giancarlo Esposito,True,5.555555555555555
334,Breaking Bad,Charles Baker,True,5.555555555555555
335,Breaking Bad,Jesse Plemons,True,5.555555555555555
336,Breaking Bad,Christopher Cousins,True,5.555555555555555
337,Breaking Bad,Laura Fraser,True,5.555555555555555
338,Breaking Bad,Matt Jones,True,5.555555555555555
339,Breaking Bad,Michael Shamus Wiles,True,5.555555555555555
340,Breaking Bad,Lavell Crawford,True,5.555555555555555
341,Breaking Bad,Ray Campbell,True,5.555555555555555
342,The Walking Dead,Andrew Lincoln,True,5.555555555555555
343,The Walking Dead,Norman Reedus,True,5.555555555555555
344,The Walking Dead,Melissa McBride,True,5.555555555555555
345,The Walking Dead,Lauren Cohan,True,5.555555555555555
346,The Walking Dead,Josh McDermitt,True,5.555555555555555
347,The Walking Dead,Christian Serratos,True,5.555555555555555
348,The Walking Dead,Danai Gurira,True,5.555555555555555
349,The Walking Dead,Seth Gilliam,True,5.555555555555555
350,The Walking Dead,Ross Marquand,True,5.555555555555555
351,The Walking Dead,Chandler Riggs,True,5.555555555555555
352,The Walking Dead,Jeffrey Dean Morgan,True,5.555555555555555
353,The Walking Dead,Alanna Masterson,['https://en.wikipedia.org/wiki/Joe_Reaiche'],5.555555555555555
354,The Walking Dead,Khary Payton,True,5.555555555555555
355,The Walking Dead,Steven Yeun,True,5.555555555555555
356,The Walking Dead,Cooper Andrews,True,5.555555555555555
357,The Walking Dead,Sonequa Martin-Green,True,5.555555555555555
358,The Walking Dead,Eleanor Matsuura,True,5.555555555555555
359,The Walking Dead,Callan McAuliffe,True,5.555555555555555
360,Grey's Anatomy,Ellen Pompeo,True,5.555555555555555
361,Grey's Anatomy,Chandra Wilson,True,5.555555555555555
362,Grey's Anatomy,James Pickens Jr.,True,5.555555555555555
363,Grey's Anatomy,Justin Chambers,True,5.555555555555555
364,Grey's Anatomy,Kevin McKidd,True,5.555555555555555
365,Grey's Anatomy,Jesse Williams,True,5.555555555555555
366,Grey's Anatomy,Bokhee An,True,5.555555555555555
367,Grey's Anatomy,Patrick Dempsey,True,5.555555555555555
368,Grey's Anatomy,Sara Ramirez,True,5.555555555555555
369,Grey's Anatomy,Camilla Luddington,True,5.555555555555555
370,Grey's Anatomy,Jessica Capshaw,['https://en.wikipedia.org/wiki/Kate_Capshaw'],5.555555555555555
371,Grey's Anatomy,Sandra Oh,True,5.555555555555555
