,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
93,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Jacob Batalon,False,22.22222222222222
94,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Jon Favreau,False,22.22222222222222
95,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Jamie Foxx,False,22.22222222222222
96,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Willem Dafoe,['https://en.wikipedia.org/wiki/Donald_Dafoe'],22.22222222222222
97,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Alfred Molina,False,22.22222222222222
98,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Benedict Wong,False,22.22222222222222
99,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Tony Revolori,['https://en.wikipedia.org/w/index.php?title=Mario_Qui%C3%B1onez&amp;action=edit&amp;redlink=1'],22.22222222222222
100,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Marisa Tomei,False,22.22222222222222
101,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Andrew Garfield,False,22.22222222222222
102,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Tobey Maguire,False,22.22222222222222
103,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Angourie Rice,False,22.22222222222222
104,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Arian Moayed,False,22.22222222222222
105,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Paula Newsome,False,22.22222222222222
106,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Hannibal Buress,False,22.22222222222222
107,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Martin Starr,False,22.22222222222222
108,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Chris Pratt,False,11.11111111111111
109,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Bryce Dallas Howard,['https://en.wikipedia.org/wiki/Ron_Howard'],11.11111111111111
110,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Ty Simpkins,['https://en.wikipedia.org/wiki/Ryan_Simpkins'],11.11111111111111
111,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Judy Greer,False,11.11111111111111
